"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"KLINGLE VALLEY","NAPHTHALENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"LUZON BRANCH","NAPHTHALENE","PAH1",NA,"3","D","3","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","NAPHTHALENE","PAH1",NA,"3","D","25","1","0","25","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","10"
"NASH RUN","NAPHTHALENE","PAH1",NA,"4a","D","7","2","0","7","0","3","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"NORMANSTONE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","none","2","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"OXON RUN","NAPHTHALENE","PAH1",NA,"3","D","1","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","NAPHTHALENE","PAH1",NA,"3","D","4","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"PINEY BRANCH","NAPHTHALENE","PAH1",NA,"3","D","3","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POPE BRANCH","NAPHTHALENE","PAH1",NA,"4a","D","7","0","0","7","0","4","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"PORTAL BRANCH","NAPHTHALENE","PAH1",NA,"3","D","2","0","0","2","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","NAPHTHALENE","PAH1",NA,"Not Listed","none","24","2","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","none","24","1","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","NAPHTHALENE","PAH1",NA,"Not Listed","none","32","0","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","NAPHTHALENE","PAH1",NA,"Not Listed","none","23","2","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","NAPHTHALENE","PAH1",NA,"3","D","2","0","0","1","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","NAPHTHALENE","PAH1",NA,"4a","D","6","1","0","6","0","3","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 4a","3"
"TIDAL BASIN","NAPHTHALENE","PAH1",NA,"3","D","3","1","0","3","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","NAPHTHALENE","PAH1",NA,"3","D","19","0","0","19","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WATTS BRANCH LOWER","NAPHTHALENE","PAH1",NA,"3","D","3","1","0","3","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","8"
"WATTS BRANCH UPPER","NAPHTHALENE","PAH1",NA,"3","D","24","0","0","24","0","24","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Remove from Category 3","10"
"BATTERY KEMBLE CREEK","NAPHTHALENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"C&O CANAL","NAPHTHALENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","NAPHTHALENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","NAPHTHALENE","PAH1",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","600","0.0000217 - 0.000667","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","44","44","0","44","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"ANACOSTIA UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","30","30","2","30","2","0","24","1.4E-2","NA - all results detected","no criteria",NA,"No","Keep in Category 4a","1"
"BROAD BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","9","9","0","9","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"DALECARLIA TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"DUMBARTON OAKS","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","10","10","1","10","1","8","7","1.4E-2","NA - all results detected","no criteria",NA,"Yes","Keep in Category 4a","5"
"FENWICK BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"FORT DUPONT TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","7","7","0","7","0","7","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","11","11","0","11","0","7","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"HICKEY RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","0","3","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"KINGMAN LAKE","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","18","18","0","18","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"KLINGLE VALLEY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"LUZON BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","9","9","0","9","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"NASH RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","4","4","0","4","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"NORMANSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"OXON RUN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"PINEHURST BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"PINEY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"POPE BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","0","3","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"PORTAL BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","2","2","0","2","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"POTOMAC LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","8","8","0","8","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"POTOMAC MIDDLE","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","8","8","0","8","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"POTOMAC UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","7","7","0","7","0","7","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"ROCK CREEK LOWER","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","8","8","0","8","0","8","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"SOAPSTONE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","1","1","0","1","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","0","3","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"TIDAL BASIN","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","16","16","0","16","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"WATTS BRANCH LOWER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","3","3","0","3","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"WATTS BRANCH UPPER","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","7","7","0","7","0","7","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"BATTERY KEMBLE CREEK","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"C&O CANAL","PCB_TOTAL","PCB_TOTAL",NA,"4a","D","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Move to Category 3","2"
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","PCB_TOTAL","PCB_TOTAL",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","1.4E-2","NA - all results detected","no criteria",NA,"No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","PYRENE","PAH2",NA,"4a","D","63","14","N/A - no Class C WQ criteria","63","N/A - no Class C WQ criteria","27","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"ANACOSTIA UPPER","PYRENE","PAH2",NA,"4a","D","56","30","N/A - no Class C WQ criteria","56","N/A - no Class C WQ criteria","19","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"BROAD BRANCH","PYRENE","PAH2",NA,"Not Listed","none","26","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","PYRENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"DUMBARTON OAKS","PYRENE","PAH2",NA,"3","D","27","1","N/A - no Class C WQ criteria","26","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FENWICK BRANCH","PYRENE","PAH2",NA,"3","D","2","1","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"FORT DUPONT TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","PYRENE","PAH2",NA,"4a","D","32","2","N/A - no Class C WQ criteria","32","N/A - no Class C WQ criteria","28","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"HICKEY RUN","PYRENE","PAH2",NA,"4a","D","6","2","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KINGMAN LAKE","PYRENE","PAH2",NA,"4a","D","25","14","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"KLINGLE VALLEY","PYRENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"LUZON BRANCH","PYRENE","PAH2",NA,"3","D","3","1","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"MELVIN HAZEN VALLEY BRANCH","PYRENE","PAH2",NA,"3","D","25","0","N/A - no Class C WQ criteria","25","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"NASH RUN","PYRENE","PAH2",NA,"4a","D","7","4","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"NORMANSTONE CREEK","PYRENE","PAH2",NA,"Not Listed","none","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"OXON RUN","PYRENE","PAH2",NA,"3","D","1","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEHURST BRANCH","PYRENE","PAH2",NA,"3","D","4","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"PINEY BRANCH","PYRENE","PAH2",NA,"3","D","3","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POPE BRANCH","PYRENE","PAH2",NA,"4a","D","7","0","N/A - no Class C WQ criteria","7","N/A - no Class C WQ criteria","4","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"PORTAL BRANCH","PYRENE","PAH2",NA,"3","D","2","0","N/A - no Class C WQ criteria","2","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"POTOMAC LOWER","PYRENE","PAH2",NA,"Not Listed","none","24","1","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC MIDDLE","PYRENE","PAH2",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"POTOMAC UPPER","PYRENE","PAH2",NA,"Not Listed","none","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK LOWER","PYRENE","PAH2",NA,"Not Listed","none","32","5","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"ROCK CREEK UPPER","PYRENE","PAH2",NA,"Not Listed","none","23","18","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"SOAPSTONE CREEK","PYRENE","PAH2",NA,"3","D","2","0","N/A - no Class C WQ criteria","1","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","PYRENE","PAH2",NA,"4a","D","6","1","N/A - no Class C WQ criteria","6","N/A - no Class C WQ criteria","3","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 4a","0"
"TIDAL BASIN","PYRENE","PAH2",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WASHINGTON SHIP CHANNEL","PYRENE","PAH2",NA,"3","D","19","3","N/A - no Class C WQ criteria","19","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH LOWER","PYRENE","PAH2",NA,"3","D","3","0","N/A - no Class C WQ criteria","3","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"WATTS BRANCH UPPER","PYRENE","PAH2",NA,"3","D","24","0","N/A - no Class C WQ criteria","24","N/A - no Class C WQ criteria","24","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Remove from Category 3","0"
"BATTERY KEMBLE CREEK","PYRENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"C&O CANAL","PYRENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","PYRENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
"FOUNDRY BRANCH","PYRENE","PAH2",NA,"Not Listed","none","0","0","N/A - no Class C WQ criteria","0","N/A - no Class C WQ criteria","0","No exceedance","no criteria",NA,"no criteria",NA,"No exceedance","Not listed - take no action","0"
